200120010100000363             00031260502001000003631000000000001100010003316600003202262200
200120010100000775             00022969002001000007751000000000001100010002260850002202442200
200120010100000981             00009733502001000009811000000000001100040000849750012102162200
200120010100001239             00013750502001000012391000000000001100020001380200010202212200
200120010100002784             00012257002001000027841000000000001100020001575900000102262200
200120010100003144             00010454502001000031441000000000001100010001050600001102362200
200120010100003196             00010145502001000031961000000000001100010001019700001202262200
200120010100004895             00009939502001000048951000000000001100010000999100000202362200
200120010100005565             00032033002001000055651000000000001100030002569850000202062200
200120010100007934             00001339002001000079341000000000002100010000190550023102412200
200120010100007934             00001339002001000079341000000000002100020000128750013202212200
200120010100014989             00007982502001000149891000000000004100010000751900002202062200
200120010100015453             00032496502001000154531000000000004100030003970650000202062200
200120010100023384             00008961002001000233841000000000005100020000803400000202262200
200120010100024208             00048976502001000242081000000000006100010005155150021202112200
200120010100024208             00048976502001000242081000000000006100020002801600011102412200
200120010100024671             00013544502001000246711000000000006100030002096050000202062200
200120010100039658             00033990002001000396581000000000006100020004315700000102462200
200120010100063399             00010248502001000633991000000000006100020001380200000102462200
200120010100083845             00009888002001000838451000000000010100010001045450000202262200
200120010100086368             00002472002001000863681000000000011100050000422300000202262200
200120010100086368             00002472002001000863681000000000011100060000427450000202162200
200120010100087553             00008240002001000875531000000000011100020001169050000102462200
200120010100090797             00023072002001000907971000000000012100030002410200000102462200
200120010100095175             00010660502001000951751000000000012100030001009400000202062200
200120010100098934             00027913002001000989341000000000012100020002760400000202062200
200120010100101355             00010506002001001013551000000000012100040001215400000102162200
200120010100104084             00010403002001001040841000000000012100030001678900000102462200
200120010100110419             00009167002001001104191000000000012100050001457450000202162200
200120010100120461             00061439502001001204611000000000013100010006071850040102262200
200120010100120461             00061439502001001204611000000000013100020006066700000102162200
200120010100120461             00061439502001001204611000000000013100050004248750000202162200
200120010100120719             00036359002001001207191000000000013100010003723450002202462200
200120010100122933             00029406502001001229331000000000013100020003754350000202162200
200120010100123036             00009064002001001230361000000000013100020000937300000102332200
200120010100123036             00009064002001001230361000000000013100030000942450000102162200
200120010100123345             00009218502001001233451000000000013100060000875500000102162200
200120010100144100             00008755002001001441001000000000017100010000927000000102162200
200120010100149610             00011381502001001496101000000000017100020001364750000102262200
200120010100151722             00009991002001001517221000000000017100030001225700001202062200
200120010100154245             00011690502001001542451000000000017100030001467750000102262200
